,order_id,order_date,order_customer_id,order_status
0,1,2013-07-25 00:00:00.0,11599,CLOSED
1,2,2013-07-25 00:00:00.0,256,PENDING_PAYMENT
2,3,2013-07-25 00:00:00.0,12111,COMPLETE
3,4,2013-07-25 00:00:00.0,8827,CLOSED
4,5,2013-07-25 00:00:00.0,11318,COMPLETE
5,6,2013-07-25 00:00:00.0,7130,COMPLETE
6,7,2013-07-25 00:00:00.0,4530,COMPLETE
7,8,2013-07-25 00:00:00.0,2911,PROCESSING
8,9,2013-07-25 00:00:00.0,5657,PENDING_PAYMENT
9,10,2013-07-25 00:00:00.0,5648,PENDING_PAYMENT
10,11,2013-07-25 00:00:00.0,918,PAYMENT_REVIEW
11,12,2013-07-25 00:00:00.0,1837,CLOSED
12,13,2013-07-25 00:00:00.0,9149,PENDING_PAYMENT
13,14,2013-07-25 00:00:00.0,9842,PROCESSING
14,15,2013-07-25 00:00:00.0,2568,COMPLETE
15,16,2013-07-25 00:00:00.0,7276,PENDING_PAYMENT
16,17,2013-07-25 00:00:00.0,2667,COMPLETE
17,18,2013-07-25 00:00:00.0,1205,CLOSED
18,19,2013-07-25 00:00:00.0,9488,PENDING_PAYMENT
19,20,2013-07-25 00:00:00.0,9198,PROCESSING
20,21,2013-07-25 00:00:00.0,2711,PENDING
21,22,2013-07-25 00:00:00.0,333,COMPLETE
22,23,2013-07-25 00:00:00.0,4367,PENDING_PAYMENT
23,24,2013-07-25 00:00:00.0,11441,CLOSED
24,25,2013-07-25 00:00:00.0,9503,CLOSED
25,26,2013-07-25 00:00:00.0,7562,COMPLETE
26,27,2013-07-25 00:00:00.0,3241,PENDING_PAYMENT
27,28,2013-07-25 00:00:00.0,656,COMPLETE
28,29,2013-07-25 00:00:00.0,196,PROCESSING
29,30,2013-07-25 00:00:00.0,10039,PENDING_PAYMENT
30,31,2013-07-25 00:00:00.0,6983,PAYMENT_REVIEW
31,32,2013-07-25 00:00:00.0,3960,COMPLETE
32,33,2013-07-25 00:00:00.0,5793,PENDING_PAYMENT
33,34,2013-07-25 00:00:00.0,4189,PROCESSING
34,35,2013-07-25 00:00:00.0,4840,COMPLETE
